Email,"First Name","Last Name","Phone Number",Status,"Contact Record Created","IP Address","User Agent",Organization,*domain,*Message,*Sector,*Prod/Service,"*Phone 2",*Fax,*Employees,*Province,*Area,*Town,*Suburb,*Website,*Designation1,*Designation2,*Cell,"*Authoriser E-mail","*Authoriser Full Name","*Authoriser Tel","*Authoriser Cell","*Email 2",*Salut,"*.za.com address","*Premium Address 1","*Premium Address 2","*Premium Address 3","*Opened Campaign Contact Score","*Replied Contact Score","*Forward Email Contact Score","*Clicked Link Contact Score","*Submit Web Form Contact Score","*Visited Web Site Contact Score",Tags
charmaine@gibela.org,CHARMAINE,,(021)-856-0095,,"2018-02-19 13:56:39",127.0.0.1,,"GIBELA TRADE AND INVEST 1106 CC",,,"PROFESSIONAL SERVICES","TREE CUTTING,GARDEN SERVICE,TREE FELLING,INVESTMENT",,,"11 - 50",WC,,"GORDONS BAY","GORDONS BAY",,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
cherrywoodnursery@gmail.com,,,(046)-648-1732,,"2018-02-06 10:36:31",0.0.0.0,,"CHERRYWOOD NURSERY",florist.za.com,,RETAIL,"GARDEN NURSERIES,HORTICULTURAL NURSERIES,RETAIL",,,"11 - 50",EC,"SOUTH EASTERN CAPE","KENTON ON SEA","KENTON ON SEA",,,,,,,,,,,,,,,0,0,0,0,0,0,"Florist,Not responding to e-mails"
chezmandie@telkomsa.net,,,(012)-328-4106,,"2018-01-10 13:19:05",127.0.0.1,,CHEZ-MANDIE,,,HOSPITALITY,CATERERS,,,,GT,"CENTRAL PRETORIA","PRETORIA CENTRAL CENTRAL","PRETORIA CENTRAL",,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
chinaworldsa@gmail.com,,,(071)-453-8071,,"2018-03-05 08:05:46",0.0.0.0,,"BACK PACKAGES LODGE AND TOURS","backpackers.za.com, selfcatering.za.com, tours.za.com, lodge.za.com",,HOSPITALITY,"BUS TOURS,DAY TOURS,BACK PACKERS,LODGE",,,"51 - 200",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
chris.pretorius@telkomsa.net,,,(011)-955-4436,,"2018-01-10 13:19:11",127.0.0.1,,"CHRIS SPIT BRAAIS",,,HOSPITALITY,CATERERS,,(011)-955-4436,,GT,"WEST RAND",KRUGERSDORP,LEWISHAM,,,,(082)-853-8794,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
chris@chrisophotography.co.za,,,,,"2018-01-18 13:50:13",127.0.0.1,,"CHRIS O PHOTOGRAPHY",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.chrisophotography.co.za,,,(083)-284-1580,,,,,,,,,,,0,0,0,0,0,0,Photographer
chrism@capricornsa.com,CHRIS,MULLIN,(011)-666-0700,,"2018-02-19 13:56:31",127.0.0.1,,"CAPRICORN CAPITAL PARTNERS (PTY) LTD",,,"FINANCIAL SERVICES","PRIVATE EQUITY INVESTMENTS",(011)-666-0703,,"1 - 10",GT,,JOHANNESBURG,CHISLEHURSTON,www.capricornsa.com,"OTHER DIRECTORS & PARTNERS",DIRECTOR,,,,,,,,,,,,0,0,0,0,0,0,Investment
chrismurray@primalucetours.com,Chris,Murray,,,"2018-02-26 13:45:54",197.88.21.110,,"Prima Luce Tours & Safaris",,,HOSPITALITY,"SAFARIS & TOUR OPERATORS",(011)-646-9970,(086)-606-6940,"1 - 10",GT,"CENTRAL JOHANNESBURG",RANDBURG,PARKVIEW,www.primalucetours.com,MD/CEOS,OWNER,(082)-568-6651,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,travel industry"
christa@blastcraft.co.za,,,(012)-565-4404,,"2018-01-12 08:56:52",127.0.0.1,,"BLAST CRAFT",gift.za.com,,"GENERAL SERVICES","GIFTS AND NOVELTIES,GIFT SERVICES,PROMOTIONS",,,"51 - 200",GT,"NORTH PRETORIA","PRETORIA CENTRAL NORTH","PRETORIA CENTRAL NORTH",www.blastcraft.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
christalchetty4@gmail.com,,,,,"2018-02-01 13:19:32",0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,0,0,0,0,
cindy@albertclaassen.co.za,CINDY,,(012)-752-7487,,"2018-02-19 13:56:34",127.0.0.1,,"ALBERT CLAASSEN FINANCIAL SERVICES",,,ASSOCIATIONS,"INVESTMENTS,ASSET INVESTMENTS,CAR INSURANCE RATE",,,"11 - 50",GT,,PRETORIA,SINOVILLE,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
cindyflorist@mweb.co.za,,,(011)-452-2148,,"2018-02-06 10:36:34",0.0.0.0,,"CINDYS FLORIST & GIFTS",florist.za.com,,RETAIL,FLORIST,,(011)-452-2140,"11 - 50",GT,"EAST RAND",LETHABONG,EASTLEIGH,www.cindysflorist.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
cityflowers.4@gmail.com,,,(032)-551-1893,,"2018-02-06 10:36:37",66.249.93.204,,"CITY FLOWERS",florist.za.com,,RETAIL,"FLORISTS AND FLOWERS,BOUQUETS,FLORISTS,FLOWERS",,,"11 - 50",KZN,"NORTHERN KWA-ZULU NATAL","KWADUKUZA / STANGER","KWADUKUZA / STANGER",,,,,,,,,,,,,,,2,0,0,0,0,0,Florist
claireaphotography@gmail.com,,,,,"2018-01-18 13:50:14",127.0.0.1,,"CLAIRE AMALENE PHOTOGRAPHY",http://photographer.za.com/,,"GENERAL SERVICES","FAMILY PHOTOGRAPHER",,,,GT,"WEST RAND",KRUGERSDORP,LEWISHAM,www.claireamalenephotography.weebly.com,,,(082)-077-1008,,,,,,,,,,,2,0,0,0,0,0,Photographer
clarkecolours@zamail.co.za,"George and Margaret","Gaenssler ",(011)-609-8340,,"2018-02-06 10:36:33",196.209.233.157,,"CLARKE COLOURS (PTY) LTD",chemical.za.com,,RETAIL,"CHEMICAL PRODUCTS",,,"11 - 50",GT,"EAST RAND",LETHABONG,EASTLEIGH,http://www.clarkecolours.co.za/index.html,,,,,,,,,,,,,,4,0,0,0,0,0,"Opened Both Emails,Florist,Chemical Products"
clerissal@chateaugateaux.co.za,"Clerissa ",,(031)-562-8831,,"2018-02-06 10:36:36",105.226.19.149,,"CHATEAU GATEAUX PATISSERIE UMHLANGA ROCKS DR",chef.za.com,,"GENERAL SERVICES","FLOWERS,FLORISTS",,,,KZN,"CENTRAL DURBAN","DURBAN NORTH","LA LUCIA",www.chateaugateaux.co.za,,,,,,,,,,,,,,2,0,0,0,0,0,Florist
clflora@mweb.co.za,,,(021)-975-6140,,"2018-02-06 10:36:39",0.0.0.0,,"C AND L FLORA",florist.za.com,,"TRANSPORT & DISTRIBUTION","FLORIST WHOLESALE,FLORISTS AND FLOWERS,FLOWER",,,"11 - 50",WC,"EAST CAPE TOWN",DURBANVILLE,DURBANVILLE,,,,(083)-306-4454,,,,,,,,,,,0,0,0,0,0,0,Florist
clint@cherrysquared.co.za,CLINT,"DE BEER",(011)-675-6044,,"2018-01-12 08:57:00",127.0.0.1,,"CHERRY SQUARED PROM IMAGING CC",gift.za.com,,"TRANSPORT & DISTRIBUTION","CORPORATE GIFTS SUPPLIERS",,(011)-675-6795,"11 - 50",GT,"SOUTH JOHANNESBURG",ALBERTON,ALBERANTE,,"OTHER DIRECTORS & PARTNERS",DIRECTOR,(082)-467-3210,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
clivac@mweb.co.za,,,(011)-975-5255,,"2018-01-18 09:51:07",0.0.0.0,,"Clivac Airconditioning Services Bk",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING,REFRIGERATION,VENTILATION",,,"11 - 50",GT,"EAST RAND","KEMPTON PARK","KEMPTON PARK",www.clivac.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
cls@icon.co.za,,,(021)-531-4020,,"2018-03-05 08:05:53",0.0.0.0,,"51 ON FOREST DRIVE LODGE",lodge.za.com,,HOSPITALITY,"RESORTS & LODGES",,(021)-531-4020,"51 - 200",WC,"CAPE TOWN CITY",PINELANDS,PINELANDS,www.forestdrive.co.za,,,(083)-658-4759,,,,,,,,,,,4,0,0,0,0,0,"Not responding to e-mails,Lodge Leads"
cmdesigns@xsinet.co.za,CAROL,MCILRATH,(011)-918-2449,,"2018-01-12 08:56:00",127.0.0.1,,"CM DESIGNS",gift.za.com,,"GENERAL SERVICES","CLOTHING & CORPORATE GIFTS",,(011)-918-2449,"51 - 200",GT,"EAST RAND",BOKSBURG,BARDENE,,MD/CEOS,OWNER,(083)-628-1640,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
cococabana@telkomsa.net,,,(034)-413-1594,,"2018-01-18 09:51:12",0.0.0.0,,"Co Co Cabana Guest House",aircon.za.com,,HOSPITALITY,"ACCOMMODATION,ACCOMMODATION ESTABLISHMENTS,GUESTHOUSE",,,"11 - 50",KZN,"NORTHERN KWA-ZULU NATAL INLAND",PONGOLA,PONGOLA,www.thecococabana.com,,,,,,,,,,,,,,4,0,0,0,0,0,"Aircon Lead,Not responding to e-mails"
colin@colinbrowne.co.za,,,(086)-638-6293,,"2018-01-18 13:50:16",127.0.0.1,,"COLIN BROWNE PHOTOGRAPHY",http://photographer.za.com/,,"GENERAL SERVICES","COMMERCIAL PHOTOGRAPHER",,,,KZN,"SOUTHERN KWA-ZULU NATAL",DALTON,DALTON,www.colinbrowne.co.za,,,(079)-716-1281,,,,,,,,,,,0,0,0,0,0,0,Photographer
cominas@zanet.co.za,EVA,SCHOEN,(011)-442-8365,,"2018-02-06 10:36:32",41.113.30.204,,COMINAS,florist.za.com,,RETAIL,FLORISTS,,(011)-788-2529,"1 - 10",GT,"CENTRAL JOHANNESBURG",RANDBURG,ROSEBANK,www.cominas.co.za,,,,,,,,info@cominas.co.za,,,,,,4,0,0,0,0,0,"Opened Both Emails,Florist"
confettistudio@vodamail.co.za,,,,,"2018-01-18 13:50:13",127.0.0.1,,"CONFETTI STUDIO",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.confettistudio.co.za,,,(084)-941-2276,,,,,,,,,,,0,0,0,0,0,0,Photographer
connall@oostebroekphoto.co.za,CONNALL,OOSTERBROEK,(011)-462-7683,,"2018-01-18 13:50:13",127.0.0.1,,"CONNALL OOSTERBEROEK PHOTOGRAPHER",http://photographer.za.com/,,HOSPITALITY,"EVENTS,MODEL PHOTOGRAPHERS,PHOTOS",,,"11 - 50",GT,"NORTH JOHANNESBURG",ROODEPOORT,OLIVEDALE,www.oosterbroekphoto.co.za,,,0845172463,,,,,,,,,,,0,0,0,0,0,0,"Photographer,Not responding to e-mails"
connies@venturenet.co.za,Connie,Steyn,(039)-727-3970,,"2018-01-18 09:51:13",0.0.0.0,,"Connies Refrigeration & Aircon",aircon.za.com,,"GENERAL SERVICES","AIRCON & REFRIGERATION SERVICE",,(039)-727-1517,"51 - 200",KZN,"SOUTHERN KWA-ZULU NATAL",KOKSTAD,KOKSTAD,,MD/CEOS,"MANAGING DIRECTOR",,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
constantiaflorist@telkom.sa.net,,,(021)-794-6269,,"2018-02-06 10:36:42",0.0.0.0,,"CONSTANTIA FLORIST",florist.za.com,,"GENERAL SERVICES","FLORISTS AND FLOWERS",,(021)-794-6263,,WC,"SOUTHERN SUBURBS",CONSTANTIA,CONSTANTIA,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
cookyhospitalitycatering@gmail.com,,,(012)-525-1294,,"2018-01-10 13:19:12",127.0.0.1,,"COOKY HOSPITALITY CATERING & PROJECTS",,,HOSPITALITY,"CATERERS,CATERING SERVICES,CHAIRS,FISH,FOOD,LINEN",,,,GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
cosmos.creations@gmail.com,"Vinay ",,(011)-805-1855,,"2018-02-06 10:36:34",196.250.4.199,,"COSMOS CREATIONS",florist.za.com,,RETAIL,"FLORISTS & FLOWERS",,(011)-805-1801,"11 - 50",GT,"NORTH EAST JOHANNESBURG",MIDRAND,"HALFWAY HOUSE",http://www.cosmoscreations.co.za,,,,,,,,,,,,,,4,0,0,0,0,0,"Opened Both Emails,Florist"
cotcol@iafrica.com,THEA,VERMEULEN,(011)-794-3672,,"2018-01-12 08:57:37",34.206.124.186,,"COTTAGE COLLECTION CC",gift.za.com,,"TRANSPORT & DISTRIBUTION","GIFTS & FURNITURE SUPPLIERS",,(011)-795-3846,"51 - 200",GT,"WEST RAND",ROODEPOORT,HONEYDEW,,"OTHER DIRECTORS & PARTNERS",DIRECTOR,,,,,,,,,,,,4,0,0,0,0,0,"Gifting Industry,Opened Both Emails"
countrylodge@telkomsa.net,,,(039)-316-8082,,"2018-01-18 09:51:12",0.0.0.0,,"Country Lodge The",aircon.za.com,,HOSPITALITY,"ACCOMMODATION ESTABLISHMENTS,AIRCONDITIONING,BUNGA",,,"11 - 50",KZN,"SOUTHERN KWA-ZULU NATAL",SOUTHBROOM,SOUTHBROOM,www.thecountrylodgeramsgate.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
Craccammed@gmail.com,Thomasfuepe,,83648128113,,"2018-04-26 04:24:44",0.0.0.0,"Mozilla/5.0 (Windows NT 7.1; Win64; rv:32.1) Gecko/20100101 Firefox/32.1",,register.za.com,"what is better viagra or cialis or levitra   <a href=""http://lzdwqokfs.com/"">levitra versus cialis versus viagra</a>   walmart pharmacy cialis price check   <a href=""http://lzdwqokfs.com/"">cialis coupon 2016 200.00</a>   generic cialis is it real   http://lzdwqokfs.com/   cialis coupon 2017 $200",,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,"HOT PROSPECT"
craig@amrod.co.za,,,,,"2018-02-12 09:48:43",0.0.0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,
craig@amrodgroup.co.za,"Craig ",Friedman,(011)-457-9900,,"2018-01-12 08:40:21",127.0.0.1,,"AMROD CORPORATE (PTY) LTD",gift.za.com,,"GENERAL SERVICES","CORP & PROMOTIONAL GIFTS SUPPLIER",,(011)-457-9910,"1001 - 5000",GT,"EAST RAND",LETHABONG,LONGMEADOW,www.amrod.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
craig@cannonassets.co.za,CRAIG,SIMPKINS,(031)-560-7180,,"2018-02-19 13:56:36",127.0.0.1,,"CANNON ASSET MANAGERS (PTY) LTD",,,"FINANCIAL SERVICES","INVESTMENT COMPANIES LOCAL &/OR INTERNATIONAL",(031)-560-7180,,"11 - 50",KZN,,"DURBAN NORTH","LA LUCIA RIDGE",www.cannonassets.co.za,"OTHER DIRECTORS & PARTNERS","EXECUTIVE DIRECTOR",(082)-893-1114,,,,,,,,,,,0,0,0,0,0,0,Investment
craig@dewpointac.co.za,,,(031)-764-6907,,"2018-01-18 09:51:11",0.0.0.0,,"Dew Point Airconditioning Cc",aircon.za.com,,"GENERAL SERVICES","AIRCONDITIONING,AIRCONDITIONING EQUIPMENT",,,"11 - 50",KZN,"CENTRAL DURBAN",KLOOF,KLOOF,www.dewpointac.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Aircon Lead"
craig@go2guy.co.za,CRAIG,ALEXANDER,(011)-021-0734,,"2018-01-12 08:56:28",102.249.83.54,,"GO2GUY TRADING CC",gift.za.com,,"TRANSPORT & DISTRIBUTION","CORPORATE & PROMO GIFTS SUPPLIER",,(086)-510-1856,"11 - 50",GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",http://www.go2guy.co.za,MD/CEOS,OWNER,(072)-885-6373,,,,,,,,,,,6,0,0,0,0,0,"Gifting Industry,Opened Both Emails,Not responding to e-mails"
creativethyme@absamail.co.za,,,(012)-347-7822,,"2018-01-10 13:19:08",127.0.0.1,,"CREATIVE THYME",,,HOSPITALITY,CATERERS,,,,GT,"SOUTH PRETORIA",ERASMUSRAND,ERASMUSRAND,www.creativethyme.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
crestcaterers@mailspace.co.za,,,(011)-907-3351,,"2018-01-10 13:19:05",127.0.0.1,,"CREST CATERERS",,,HOSPITALITY,CATERERS,,(011)-907-1208,,GT,"SOUTH JOHANNESBURG",ELANDSPARK,ELANDSPARK,www.crestcaterers.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
crichtonbarnes@telkomsa.net,,,(041)-360-3528,,"2018-01-18 13:50:08",127.0.0.1,,"CINDY C BARNES PHOTOGRAPHY",http://photographer.za.com/,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",EC,"SOUTH EASTERN CAPE","PORT ELIZABETH","LINTON GRANGE",,,,,,,,,,,,,,,0,0,0,0,0,0,Photographer
crosol@idsinternet.co.za,,,(083)-230-6244,,"2018-03-05 08:05:50",0.0.0.0,,"ACACIA BUSH LODGE","resort.za.com, wildlife.za.com, lodge.za.com",,HOSPITALITY,"RESORTS,CAMPING,HOSPITALITY,HOTELS AND LODGES,LODGE",,,"11 - 50",KZN,"SOUTHERN KWA-ZULU NATAL",PIETERMARITZBURG,EASTWOOD,www.acaciabushlodge.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Lodge Leads"
crosscountryflowers@global.co.za,Sharon,,(051)-444-3303,,"2018-02-06 10:36:31",197.87.130.113,,"CROSS COUNTRY FLOWERS & GIFTS",florist.za.com,,RETAIL,"FRESH FLOWERS,FLOWER SELLERS,FLORISTS SUPPLIES",,(051)-444-3304238,"11 - 50",FS,"CENTRAL FREE STATE",BLOEMFONTEIN,BRANDWAG,http://www.crosscountryflowers.co.za/,,,,,,,,,,,,,,4,0,0,0,0,0,"Opened Both Emails,Florist"
crowhurst@icyt.net,,,(031)-702-7228,,"2018-02-06 10:36:37",0.0.0.0,,"CROWHURST GARLANDS FLORIST",florist.za.com,,HOSPITALITY,"WEDDING,CREDIT,FLORISTS AND FLOWERS,INDOORS,GIFT ",,,"11 - 50",KZN,"CENTRAL DURBAN",PINETOWN,PINETOWN,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
crystalchetty4@gmail.com,CHRISTAL,CHETTY,0827632138,,"2018-02-01 08:41:05",0.0.0.0,,"DINO S PHOTOGRAPHY",photo.za.com,,PHOTOGRAPHY,PHOTOGRAPHY,,,,DURBAN,DURBAN,,,,,,0827632138,,,,,,,,,,,0,0,0,0,0,0,"HOT PROSPECT"
crystellepinatas@gmail.com,"Crystelle ","Van Tonder",0762565753,,"2018-02-15 09:28:24",0.0.0.0,,"Party Pinatas",party.za.com,,,,,,,,,,,https://partypinatas.weebly.com/,,,,,,,,,,,,,,0,0,0,0,0,0,
cshelly@bakertillygreenwoods.co.za,Colin,Shelly,(021)-410-8500,,"2018-04-10 12:29:48",0.0.0.0,,"Baker Tilly Greenwoods",,,"FINANCIAL SERVICES","CHARTERED ACCOUNTANTS",,,200,WC,"CAPE TOWN CITY","CAPE TOWN",CENTRAL,www.bakertillygreenwoods.co.za,MD/CEOS,OWNER,,,,,,,MR.,www.bakertillygreenwoods.za.com,www.accounts.za.com,www.finance.za.com,www.accounting.za.com,0,0,0,0,0,0,
cslabbert@bdo.co.za,Chani,Slabbert,(011)-488-1700,,"2018-04-10 12:29:47",0.0.0.0,,"Bdo South Africa",,,"PROFESSIONAL SERVICES",ACCOUNTANTS,,,750,GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,PARKTOWN,www.bdo.co.za,"OTHER DIRECTORS & PARTNERS",DIRECTOR,,,,,,,,www.bdo.za.com,www.accounts.za.com,www.finance.za.com,www.accounting.za.com,0,0,0,0,0,0,
cuisine@icon.co.za,,,(011)-447-1223,,"2018-01-10 13:19:08",127.0.0.1,,"EXECUTIVE CUISINE",,,HOSPITALITY,CATERERS,,(011)-447-1323,,GT,"CENTRAL JOHANNESBURG",RANDBURG,ROSEBANK,www.executivecuisines.co.za,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
cuisine@live.co.za,,,(011)-436-1644,,"2018-01-10 14:35:46",127.0.0.1,,"FUSION LINE",,,HOSPITALITY,"EVENT PLANNERS & CATERERS",,,,GT,"SOUTH JOHANNESBURG",ROSETTENVILLE,ROSETTENVILLE,www.fusionline.co.za,,,(084)-306-6330,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
customerservices@albaraka.co.za,,,(011)-833-1154,,"2018-02-19 13:56:31",127.0.0.1,,"ALBARAKA BANK LTD",,,"FINANCIAL SERVICES","BANKS,ISLAMIC BANKING,FINANCING AND INVESTMENT ",,,"201 - 500",GT,,JOHANNESBURG,FORDSBURG,www.,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
cv@absoluterecruitment.co.za,,,(011)-262-3723,,"2018-02-19 13:56:32",127.0.0.1,,"ABSOLUTE RECRUITMENT",,,"FINANCIAL SERVICES","INVESTMENTS,PERSONNEL CONSULTANTS,FINANCIAL",,,"51 - 200",GT,,SANDTON,MARLBORO,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
dan.ahern@za.bnpparibas.com,DAN,AHERN,(021)-834-3500,,"2018-02-19 13:56:40",127.0.0.1,,"BNP PARIBAS SECURITIES SOUTH AFRICA",,,"FINANCIAL SERVICES","CORPORATE & INVESTMENT BANKING",,(021)-657-8303,"51 - 200",WC,,"CAPE TOWN",NEWLANDS,www.bnpparibas.com,MD/CEOS,"CHIEF EXECUTIVE OFFICER",,,,,,,,,,,,0,0,0,0,0,0,Investment
danielleflorist@live.com,,,(041)-922-0662,,"2018-02-06 10:36:31",0.0.0.0,,"DANIELLE FLOWERS & GIFTS",florist.za.com,,RETAIL,"FLORISTS,FLOWER ARRANGEMENTS,FUNCTIONS,FLORISTS ",,,"11 - 50",EC,"SOUTH EASTERN CAPE",UITENHAGE,UITENHAGE,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
darren@daxpromo.co.za,DARREN,MENACHEMSON,(011)-485-5000,,"2018-01-12 08:55:30",127.0.0.1,,"DAX PROMOTIONS CC",gift.za.com,,"TRANSPORT & DISTRIBUTION","PROMOTIONAL GIFTS SUPPLIERS",,(011)-485-5577,"1 - 10",GT,"CENTRAL JOHANNESBURG",JOHANNESBURG,"ORANGE GROVE",www.dax.co.za,MD/CEOS,OWNER,,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
daryl@kfcec.co.za,DARYL,MCWILLIAMS,,,"2018-02-19 13:56:28",127.0.0.1,,"BUFFKEN (PTY) LTD",,,"FINANCIAL SERVICES","INVESTMENT COMPANIES",(041)-373-7880,(041)-373-7890,"501 - 1000",EC,,"PORT ELIZABETH","PARSONS HILL",www.kfcec.co.za,"OTHER DIRECTORS & PARTNERS",DIRECTOR,,,,,,,,,,,,0,0,0,0,0,0,Investment
dash@industrialscreen.com,Dalson,Ash,3073153229,,"2018-03-13 22:55:20",0.0.0.0,"Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko",,register.za.com,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,"HOT PROSPECT"
david@burvest.com,DAVID,BENNETT,,,"2018-02-19 13:56:36",127.0.0.1,,"BURLEIGH INVESTMENT MANAGEMENT",,,"FINANCIAL SERVICES","INVESTMENT MGMT CONSULTANTS",(031)-564-2226,(031)-564-2381,"51 - 200",KZN,,"DURBAN NORTH","LA LUCIA",www.burvest.com,"OTHER DIRECTORS & PARTNERS",DIRECTOR,(083)-653-5645,,,,,,,,,,,0,0,0,0,0,0,Investment
david@daviddoddsinc.com,DAVID,DODDS,,,"2018-01-18 13:50:11",197.228.191.190,,"DODDS DAVID",photographer.za.com,,"PROFESSIONAL SERVICES",PHOTOGRAPHERS,,,"1 - 10",GT,"CENTRAL JOHANNESBURG",SANDTON,BRYANSTON,www.daviddoddsinc.com,,,,,,,,,,,,,,6,0,0,0,0,0,"Photographer,Opened Both Emails,Not responding to e-mails"
dawnf@fingroupnatal.co.za,,,(031)-267-2474,,"2018-02-19 13:56:36",127.0.0.1,,"FINGROUP NATAL (PTY) LTD",,,"FINANCIAL SERVICES","INSURANCE BROKERS,FINANCIAL ADVISORY,FINANCIAL ",,(031)-267-2478,"11 - 50",KZN,,"BEREA WEST",WESTVILLE,,,,,,,,,,,,,,,0,0,0,0,0,0,Investment
dcc.aogm@mweb.co.za,,,(021)-592-5747,,"2018-02-06 10:36:39",0.0.0.0,,"ASSEMBLIES OF GOD MOVEMENT",florist.za.com,,RETAIL,"FLORISTS AND FLOWERS,CHURCHES",,(021)-592-7074,"11 - 50",WC,"EAST CAPE TOWN",GOODWOOD,GOODWOOD,,,,,,,,,,,,,,,0,0,0,0,0,0,Florist
dean.d@mweb.co.za,"DEAN ",DEMOS,(031)-763-5526,,"2018-01-18 13:50:15",197.88.37.169,,"DEAN DEMOSTHENOUS PHOTOGRAPHY",http://photographer.za.com/,"Photography, Fashion Shoots, Portfolios, Graphic Design","PROFESSIONAL SERVICES",PHOTOGRAPHERS," 082 974 7681",,"1 - 10",KZN,"CENTRAL DURBAN",KLOOF,"FOREST HILLS",www.deandemos.co.za,,," 082 963 3906",studio@deandemos.co.za,,,,studio@deandemos.co.za,,,,,,6,0,0,0,0,0,Photographer
deans.caterers@gmail.com,,,(011)-857-1986,,"2018-01-10 13:19:06",127.0.0.1,,"DEAN S CATERERS",,,HOSPITALITY,CATERERS,,,,GT,"WEST JOHANNESBURG",LENASIA,LAWLEY,,,,(082)-603-1877,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
decobitz@gmail.com,,,,,"2018-02-06 10:36:34",0.0.0.0,,DECOBITZ,florist.za.com,,"GENERAL SERVICES","FLORIST AND GARDEING EQUIPMENT",,(021)-510-6423,,GT,"GAUTENG - GENERAL","GAUTENG - GENERAL","GAUTENG - GENERAL",www.decobitz.webs.com,,,(082)-778-8077,,,,,,,,,,,0,0,0,0,0,0,Florist
dee@mash-lat.co.za,,,(011)-680-4705,,"2018-01-10 13:19:12",127.0.0.1,,"BALLENA EVENT & CATERING SERVICES",,,"MANUFACTURING & PRODUCTION","CONFERENCES,HIRING,PARTY DECOR,VENUES,CATERERS",,,,GT,"SOUTH JOHANNESBURG",ROBERTSHAM,ROBERTSHAM,,,,,,,,,,,,,,,0,0,0,0,0,0,"Catering & Event Coordinating"
delene@brandedgifts.co.za,DELENE,SMALE,(033)-345-1979,,"2018-01-12 08:57:55",127.0.0.1,,BRANDED,gift.za.com,,"PROFESSIONAL SERVICES","CLOTHING & PROMOTIONAL GIFTS","+27 83 43210 17",(033)-345-9899,"1 - 10",KZN,"SOUTHERN KWA-ZULU NATAL",PIETERMARITZBURG,PIETERMARITZBURG," www.brandedgifts.co.za  www.giftssa.co.za  www.promogifts.co.za/brandedgifts",MD/CEOS,"BUSINESS OWNER",(082)-378-5956,,,,,,,,,,,0,0,0,0,0,0,"Gifting Industry"
deon@aloe-drift.com,,,(041)-367-1113,,"2018-02-26 13:49:00",0.0.0.0,,"Aloe-Drift Safaris",,,"GENERAL SERVICES","SAFARIS,TOURS",,,"11 - 50",EC,"SOUTH EASTERN CAPE","PORT ELIZABETH",CHARLO,www.aloe-drift.com,,,(072)-449-6243238,,,,,,,,,,,0,0,0,0,0,0,"travel industry"
